Product,End of Marketing (EOM) Date,End of Service (EOS) Date
S9703,2018-06-30,2023-12-31
S9712,2018-06-30,2023-12-31
S9706,2018-06-30,2023-12-31
CloudEngine S8700-10,Not announced,Not announced
CloudEngine S8700-6,Not announced,Not announced
CloudEngine S8700-4,Not announced,Not announced
S7703,Not announced,Not announced
S7712,Not announced,Not announced
S7706,Not announced,Not announced
CloudEngine S6730-H24X4Y4C,Not announced,Not announced
CloudEngine S6730-H28Y4C,Not announced,Not announced
CloudEngine S6730-S24X6Q,Not announced,Not announced
CloudEngine S6730S-S24X6Q-A,Not announced,Not announced
S6700-48-EI,2017-06-30,2022-12-31
CloudEngine S6730-H24X6C,Not announced,Not announced
CloudEngine S6730-H48X6C,Not announced,Not announced
CloudEngine S6730S-H24X6C-A,Not announced,Not announced
S6700-24-EI,2017-06-30,2022-12-31
S6720-16X-LI-16S-AC,2020-12-31,2025-12-31
S6720-26Q-LI-24S-AC,2020-06-30,2025-06-30
S6720-30C-EI-24S-AC,2021-12-31,2027-12-31
S6720-30L-HI-24S,2020-12-31,2025-12-31
S6720-32C-PWH-SI-AC,2019-12-31,2024-12-31
S6720-32C-SI-DC,2020-06-30,2025-06-30
S6720-26Q-SI-24S-AC,2020-06-30,2025-06-30
S6720-30C-EI-24S-DC,2021-12-31,2027-12-31
S6720-32C-PWH-SI,2021-12-31,2026-12-31
S6720-32C-SI-AC,2020-06-30,2025-06-30
S6720-32X-LI-32S-AC,2020-12-31,2025-12-31
S6720-32X-SI-32S-AC,2019-12-31,2024-12-31
S6720-52X-PWH-SI,2021-12-31,2026-12-31
S6720-54C-EI-48S-DC,2021-12-31,2027-12-31
S6720-56C-PWH-SI-AC,2019-12-31,2024-12-31
S6720S-26Q-EI-24S-AC,2021-12-31,2026-12-31
S6720-50L-HI-48S,2020-12-31,2025-12-31
S6720-54C-EI-48S-AC,2021-12-31,2027-12-31
S6720-56C-PWH-SI,2021-12-31,2026-12-31
S6720S-16X-LI-16S-AC,2020-12-31,2025-12-31
S6720S-26Q-EI-24S-DC,2018-06-30,2023-12-31
S6720S-26Q-LI-24S-AC,2020-12-31,2025-12-31
S6720S-32X-LI-32S-AC,2020-12-31,2025-12-31
S6720S-26Q-SI-24S-AC,2020-12-31,2025-12-31
S628-E,2020-12-31,2025-12-31
S628X-E,2021-06-30,2026-06-30
