Product,EOL Announced,End of Support
"ACX500-LIC-SEC, ACX500-LIC-GPS, ACX2100-DC-BASE, ACX2100-AC-BASE, ACX-2K-LIC-SEC, ACX-2K-LIC-ADV, ACX-2K-LIC-1588, ACX-2K-LIC-10G-UPG, RACK-MNT-25RU-23-S, RACK-MNT-25RU-19-S, RACK-MNT-1RU-23-S, RACK-MNT-1RU-19-S, PWR-ACX4000-DC-S, PKG-25RU-ACXS, PKG-1U-ACXS, FLTR-KIT-ACX4000-M-S, FANTRAY-ACX4000-M-S, CHAS-ACX4000-S, BLANK-ACX4000-MIC-S, ACX-MIC-6GE-CU-SFP, ACX-MIC-4COC3-1COC12CE, ACX-MIC-16CHE1-T1-CE, ACX500-GPS, ACX500-DC, ACX500-AC, ACX4000BASE-DC, ACX4000-2-6GE-DC, ACX2200-DC, ACX2200-AC, ACX2100-DC, ACX2100-AC, ACX1100-DC, ACX1100-AC, ACX1000-DC",06/28/2023,06/28/2029
"ACX6160-T-CHAS, ACX6160-T-DC, ACX6160-FAN-1RU",09/15/2021,11/30/2026
"ACX6360-OR-AC, ACX6360-OR-DC, ACX6360-OX-AC, ACX6360-OX-DC, JNP6360-CHAS, ACX6360-OR-AC-HW, ACX6360-OR-DC-HW, ACX6360-OX-AC-HW, ACX6360-OX-DC-HW",09/01/2022,09/01/2027
"ACX5048-AC, ACX5048-AC-L2, ACX5048-AC-L2-L3, ACX5048-DC, ACX5048-DC-L2, ACX5048-DC-L2-L3, ACX5096-AC, ACX5096-AC-L2, ACX5096-AC-L2-L3, ACX5096-DC, ACX5096-DC-L2, ACX5096-DC-L2-L3",03/15/2022,12/31/2027
"ACX500-O-AC, ACX500-O-DC, ACX500-O-POE-AC, ACX500-O-POE-DC, ACX500-POLE-KIT, ACX500-WALL-KIT, ACX500POE-POLE-KIT, ACX500POE-WALL-KIT, CBL-ACX500-O-AC-EU, CBL-ACX500-O-AC-US, CBL-ACX500-O-DC, ACX500-GPS-KIT",02/12/2021,02/12/2026
"SFP-GE80KCW1470-ET, SFP-GE80KCW1490-ET, SFP-GE80KCW1510-ET, SFP-GE80KCW1530-ET, SFP-GE80KCW1570-ET, SFP-GE80KCW1590-ET, SFP-GE80KCW1610-ET",11/30/2020,11/30/2025
CFP2-DCO-T-WDM-1,12/11/2019,N/A
PWR-ACX4000-AC-S,05/31/2019,05/31/2020
"ACX4000BASE-AC, ACX4000-2-6GE-AC",05/31/2019,N/A
"ACX2000-DC, ACX2000-DC-BASE",11/01/2015,12/31/2022
AX411,03/06/2015,08/31/2020
BX7000,02/28/2013,08/31/2018
"BT8A78CAS1, BT8A78RCK1",12/15/2021,11/30/2024
"UFM6-DWDM-100G, BP1A36AC-05, BP1A35AD, BP1A33BA, BP1A33BB, BP1A35AA, BP1A35AB, BP1A35AC, BP1A36AC-01, BT7A37AA, BT7A37CA, BT7A56BA, BT8A78MD03, CFP-100GBASE-CHRT, UFM6-DWDM-200G, QSFP-100G-LR4-2, QSFPP-4X10GD-LR",12/30/2020,11/30/2024
"BT7A20CA-10.3, BT7A20CA-11.2, BT7A20CA-8.2, BT7A20CA-9.1, BT7A20CA-9.2, BT7A20CA-9.3",11/15/2018,11/30/2024
"BT7A20CA-7.1, BT7A20CA-X",11/6/2019,11/30/2024
"BT7A20CA-10.1.3, BT7A20CA-10.4, BT7A20CA-10.4.3, BT7A20CA-8.1.3, BT7A20CA-8.1.4",11/6/2019,11/30/2024
BT7A20CA-8.1,11/6/2019,11/30/2024
"BT7A20CA-12.1, BT7A20CA-12.1.3",11/6/2019,11/30/2024
BT7B20AA,11/6/2019,11/30/2020
"PSM-MX-1C-DWDM, PSM-PTX-5C-DWDM",11/6/2019,11/30/2024
"BP3AM4SS, BT8A78CAP2, BT8A78CH2-I02, BT8A78CH2-KIT3-AC, BT8A78CH2-KIT3-DC, BT8A78CH2-KIT4-AC, BT8A78CH2-KIT4-DC",06/14/2019,06/14/2024
"BP3AM4CL-04, BP3AM4CL-07, BP3AM4CL-08",06/14/2019,08/31/2024
BT8A78FAN2,06/14/2019,11/30/2020
