Product,End of Engineering,End of Support
Junos OS 23.2,06/23/2028,12/23/2028
Junos OS 22.4,12/22/2025,06/22/2026
Junos OS 22.3,09/28/2024,03/28/2025
Junos OS 22.2,06/23/2025,12/23/2025
Junos OS 22.1,03/24/2024,09/24/2024
Junos OS 21.4,12/20/2024,06/20/2025
Junos OS 21.3,09/23/2023,03/23/2024
Junos OS 21.2,06/29/2024,12/29/2024
Junos OS 21.1,03/25/2023,09/25/2023
Junos OS 20.4,12/25/2023,06/25/2024
Junos OS 20.3,09/29/2022,03/29/2023
Junos OS 20.2,06/30/2023,12/30/2023
Junos OS 20.1,03/27/2022,09/27/2022
Junos OS 19.4,12/26/2022,06/26/2023
Junos OS 19.3,09/26/2022,03/26/2023
Junos OS 19.2,06/26/2022,12/26/2022
Junos OS 19.1,03/27/2022,09/27/2022
Junos OS 18.4,12/22/2021,06/22/2022
Junos OS 18.3,09/26/2021,03/26/2022
Junos OS 18.2,06/29/2021,12/29/2021
Junos OS 18.1,03/28/2021,09/28/2021
Junos OS 17.4,12/21/2020,06/21/2021
Junos OS 17.3,08/25/2020,02/25/2021
Junos OS 17.2,06/06/2020,12/06/2020
Junos OS 17.1,03/03/2020,09/03/2020
Junos OS 16.2,11/29/2019,05/29/2020
Junos OS 16.1,07/28/2019,01/28/2020
Junos OS 15.1X53,06/05/2018,12/05/2018
Junos OS 15.1X49,12/31/2020,06/30/2021
Junos OS 15.1,06/05/2018,12/05/2018
Junos OS 14.2,11/05/2017,05/05/2018
Junos OS 14.1X53,12/31/2018,06/30/2019
Junos OS 14.1,12/13/2017,06/13/2018
Junos OS 13.3,01/22/2017,07/22/2017
Junos OS 13.2X52,12/31/2016,06/30/2017
Junos OS 13.2X51,12/31/2015,06/30/2016
Junos OS 13.2X50,06/28/2014,12/28/2014
Junos OS 13.2,08/29/2015,02/29/2016
Junos OS 13.1X50,06/30/2015,12/30/2015
Junos OS 13.1,03/15/2015,09/15/2015
Junos OS 12.3X54,01/18/2018,07/18/2018
Junos OS 12.3X52,08/23/2015,02/23/2016
Junos OS 12.3X51,03/15/2015,09/15/2015
Junos OS 12.3X50,01/31/2016,07/31/2016
Junos OS 12.3X48,06/30/2020,06/30/2022
Junos OS 12.3,01/31/2016,07/31/2016
Junos OS 12.2X50,01/31/2015,07/31/2015
Junos OS 12.2,09/05/2014,03/05/2015
Junos OS 12.1X49,04/19/2014,10/19/2014
Junos OS 12.1X48,12/30/2014,06/30/2015
Junos OS 12.1X47,08/18/2016,02/18/2017
Junos OS 12.1X46,12/30/2016,06/30/2017
Junos OS 12.1X45,07/17/2014,01/17/2015
Junos OS 12.1X44,01/18/2016,07/18/2016
Junos OS 12.1,03/28/2014,09/28/2014
Junos OS 11.4,12/21/2014,06/21/2015
Junos OS 11.3,07/15/2012,03/15/2013
Junos OS 11.2,06/15/2012,02/15/2013
Junos OS 11.1,11/15/2011,05/15/2012
Junos OS 10.4,12/08/2013,06/08/2014
Junos OS 10.3,08/03/2011,12/21/2011
Junos OS 10.2,05/15/2011,11/15/2011
Junos OS 10.1,11/15/2010,05/15/2011
Junos OS 10.0,11/15/2012,05/15/2013
Junos OS 9.6,05/06/2010,11/06/2010
Junos OS 9.5,02/15/2010,08/15/2010
Junos OS 9.4,11/11/2009,05/11/2010
Junos OS 9.3,11/15/2011,05/15/2012
Junos OS 9.2,05/12/2009,11/12/2009
Junos OS 9.1,01/28/2009,07/28/2009
Junos OS 9.0,11/15/2008,05/15/2009
Junos OS 8.5,11/16/2010,05/16/2011
Junos OS 8.4,05/09/2008,11/09/2008
Junos OS 8.3,01/18/2008,07/18/2008
Junos OS 8.2,11/15/2007,05/15/2008
Junos OS 8.1,11/06/2009,05/06/2010
Junos OS 8.0,05/15/2007,11/15/2007
Junos OS 7.6,02/15/2007,08/15/2007
Junos OS 7.5,11/08/2006,05/08/2007
Junos OS 7.4,08/15/2006,02/15/2007
Junos OS 7.3,05/16/2006,11/16/2006
Junos OS 7.2,02/14/2006,08/14/2006
Junos OS 7.1,11/14/2005,05/14/2006
Junos OS 7.0,08/15/2005,02/15/2006
Junos OS 6.4,05/12/2005,11/12/2005
Junos OS 6.3,02/15/2005,08/15/2005
Junos OS 6.2,11/15/2004,05/15/2005
Junos OS 6.1,08/15/2004,02/15/2005
Junos OS 6.0,05/15/2004,11/15/2004
Junos OS 5.7,02/15/2004,08/15/2004
Junos OS 5.6,11/15/2003,05/15/2004
Junos OS 5.5,08/15/2003,02/15/2004
Junos OS 5.4,05/15/2003,11/15/2003
Junos OS 5.3,02/15/2003,08/15/2003
Junos OS 5.2,11/12/2002,05/15/2003
Junos OS 5.1,08/12/2002,02/15/2003
Junos OS 5.0,05/15/2002,11/15/2002
